Dish Name,Yield,Chef Name,Chef Type,Source URL
Chipotle Chicken,6,,Amateur,https://www.browneyedbaker.com/chipotle-chicken-recipe/
Chipotle Meal,,Tasty,Professional,https://www.youtube.com/watch?v=Y_1LwzLBL2U
